file_path,dog_name,label,duration
data/raw/Mescalina 2017/PAGE_270717/GR-N/MAH00092.MP4_47_5.wav,PAGE_270717,GR-N,0.7950416666666666
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_12_11.wav,PAGE_270717,L-S1,0.3018958333333333
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_12_5.wav,PAGE_270717,L-S1,0.37052083333333335
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_14_2.wav,PAGE_270717,L-S1,1.8363333333333334
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_12_7.wav,PAGE_270717,L-S1,0.7135833333333333
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_12_13.wav,PAGE_270717,L-S1,0.2573125
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_12_17.wav,PAGE_270717,L-S1,0.837125
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_12_3.wav,PAGE_270717,L-S1,1.2796666666666667
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_36_2.wav,PAGE_270717,L-S1,0.40191666666666664
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_8.wav,PAGE_270717,L-S1,6.073708333333333
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_12_1.wav,PAGE_270717,L-S1,0.3430625
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_34_2.wav,PAGE_270717,L-S1,0.3543125
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_12_15.wav,PAGE_270717,L-S1,0.37052083333333335
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_11_4.wav,PAGE_270717,L-S1,0.5151875
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_17_3.wav,PAGE_270717,L-S1,0.23172916666666668
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_5_1.wav,PAGE_270717,L-S1,1.7293125
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_5_3.wav,PAGE_270717,L-S1,0.387375
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_17_1.wav,PAGE_270717,L-S1,0.23302083333333334
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_11_2.wav,PAGE_270717,L-S1,0.33791666666666664
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_16.wav,PAGE_270717,L-S1,0.2861875
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_1_2.wav,PAGE_270717,L-S1,0.35133333333333333
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_3_1.wav,PAGE_270717,L-S1,0.5069375
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_5_5.wav,PAGE_270717,L-S1,2.9363958333333335
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_3_3.wav,PAGE_270717,L-S1,0.28702083333333334
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_15.wav,PAGE_270717,L-S1,0.481875
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_19_4.wav,PAGE_270717,L-S1,0.7817916666666667
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_26.wav,PAGE_270717,L-S1,0.334625
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_19_2.wav,PAGE_270717,L-S1,1.1124791666666667
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_37.wav,PAGE_270717,L-S1,1.0068541666666666
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_47_2.wav,PAGE_270717,L-S1,0.3975208333333333
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_20.wav,PAGE_270717,L-S1,0.49283333333333335
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_6.wav,PAGE_270717,L-S1,0.442
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_38_2.wav,PAGE_270717,L-S1,0.34929166666666667
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_7.wav,PAGE_270717,L-S1,0.8366041666666667
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_12_19.wav,PAGE_270717,L-S1,0.5180416666666666
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_21_1.wav,PAGE_270717,L-S1,0.5000208333333334
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_4.wav,PAGE_270717,L-S1,0.5765
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_40.wav,PAGE_270717,L-S1,0.26975
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_25_1.wav,PAGE_270717,L-S1,0.37866666666666665
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_12_23.wav,PAGE_270717,L-S1,0.30533333333333335
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_12_21.wav,PAGE_270717,L-S1,0.2950625
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_18_2.wav,PAGE_270717,L-S1,0.8100416666666667
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_12_9.wav,PAGE_270717,L-S1,0.7444791666666667
data/raw/Mescalina 2017/PAGE_270717/L-S1/MAH00092.MP4_44_2.wav,PAGE_270717,L-S1,0.27825
data/raw/Mescalina 2017/PAGE_270717/L-A/MAH00092.MP4_73_4.wav,PAGE_270717,L-A,0.5384791666666666
data/raw/Mescalina 2017/PAGE_270717/L-A/MAH00092.MP4_73_6.wav,PAGE_270717,L-A,0.45035416666666667
data/raw/Mescalina 2017/PAGE_270717/L-A/MAH00092.MP4_77_2.wav,PAGE_270717,L-A,0.2851875
data/raw/Mescalina 2017/PAGE_270717/L-A/MAH00092.MP4_76_2.wav,PAGE_270717,L-A,0.23495833333333332
data/raw/Mescalina 2017/PAGE_270717/L-A/MAH00092.MP4_76_4.wav,PAGE_270717,L-A,0.43704166666666666
